ipo_symbol,upstox_symbol,name,instrument_key,match_type
DSFCL,DSFCL,DCM Shriram Fine Chemicals Limited,NSE_EQ|INE0OFM01015,exact
ELANTAS,ELANTAS,Elantas Beck India Limited,NSE_EQ|INE280B01018,exact
ELCIDIN,ELCIDIN,EL CID Investments Limited,NSE_EQ|INE927X01018,exact
ELITECON,ELITECON,Elitecon International Limited,NSE_EQ|INE669R01026,exact
ELPROINTL,ELPROINTL,Elpro International Limited,NSE_EQ|INE579B01039,exact
EMPOWER,EMPOWER,Empower India Limited,NSE_EQ|INE507F01023,exact
FEDDERSHOL,FEDDERSHOL,Fedders Holding Limited,NSE_EQ|INE417D01020,exact
FERMENTA,FERMENTA,Fermenta Biotech Limited,NSE_EQ|INE225B01021,exact
FRACTAL,FRACTAL,Fractal Analytics Limited,NSE_EQ|INE212S01015,exact
FRONTSP,FRONTSP,Frontier Springs Limited,NSE_EQ|INE572D01014,exact
GAUDIUMIVF,GAUDIUMIVF,Gaudium IVF and Women Health Limited,NSE_EQ|INE0P8B01020,exact
GICL,GICL,Globe International Carriers Limited,NSE_EQ|INE947T01022,exact
GNRL,GNRL,Gujarat Natural Resources Limited,NSE_EQ|INE207H01018,exact
GOODYEAR,GOODYEAR,Goodyear India Limited,NSE_EQ|INE533A01012,exact
GRANDOAK,GRANDOAK,Grand Oak Canyons Distillery Limited,NSE_EQ|INE926B01016,exact
GRAUWEIL,GRAUWEIL,Grauer & Weil India Limited,NSE_EQ|INE266D01021,exact
GRAVISSHO,GRAVISSHO,Graviss Hospitality Limited,NSE_EQ|INE214F01026,exact
GSPCROP,GSPCROP,GSP Crop Science Limited,NSE_EQ|INE713R01022,exact
HALDYNGL,HALDYNGL,Haldyn Glass Limited,NSE_EQ|INE506D01020,exact
HAWKINCOOK,HAWKINCOOK,Hawkins Cookers Limited,NSE_EQ|INE979B01015,exact
